日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅（%）,涨跌幅（%）,涨跌额,换手率（%）
2025-04-16,224.51,224.54,224.56,224.50,7217640,7602937330.00,0.03%,0.02%,0.05,0.00%
2025-04-15,224.44,224.49,224.51,224.44,7677610,8017321864.00,0.03%,0.03%,0.06,0.00%
2025-04-14,224.47,224.43,224.47,224.37,8548802,9001253832.00,0.04%,0.00%,0.01,0.00%
2025-04-11,224.35,224.42,224.44,224.34,5653487,6004996769.00,0.04%,0.04%,0.09,0.00%
2025-04-10,224.24,224.33,224.35,224.18,8254963,8809046013.00,0.08%,0.04%,0.10,0.00%
2025-04-09,224.23,224.23,224.27,224.18,8896271,9602968368.00,0.04%,0.01%,0.03,0.00%
2025-04-08,224.26,224.20,224.26,224.11,7752633,8249328461.00,0.07%,-0.02%,-0.05,0.00%
2025-04-07,223.84,224.25,224.28,223.84,7079435,7660817553.00,0.20%,0.27%,0.60,0.00%
2025-04-03,223.18,223.65,223.68,223.18,8558332,9025946221.00,0.22%,0.26%,0.57,0.00%
2025-04-02,222.87,223.08,223.09,222.87,7079613,7287857672.00,0.10%,0.10%,0.22,0.00%
2025-04-01,222.91,222.86,222.95,222.85,5637301,5844961814.00,0.04%,-0.01%,-0.03,0.00%
2025-03-31,222.94,222.89,222.99,222.87,5237718,5477977386.00,0.05%,0.00%,-0.01,0.00%
2025-03-28,222.90,222.90,222.99,222.85,5535642,5766005422.00,0.06%,0.00%,0.01,0.00%
2025-03-27,222.78,222.89,222.91,222.78,6295792,6508600619.00,0.06%,0.06%,0.13,0.00%
2025-03-26,222.60,222.76,222.79,222.55,5231404,5427949754.00,0.11%,0.08%,0.17,0.00%
2025-03-25,222.45,222.59,222.59,222.45,5690982,6008879696.00,0.06%,0.09%,0.19,0.00%
2025-03-24,222.50,222.40,222.60,222.38,5762422,6000623669.00,0.10%,-0.02%,-0.05,0.00%
2025-03-21,222.36,222.45,222.46,222.35,5704120,5944984076.00,0.05%,0.05%,0.11,0.00%
2025-03-20,222.04,222.34,222.37,222.04,5505942,5680525364.00,0.15%,0.14%,0.32,0.00%
2025-03-19,222.20,222.02,222.23,222.02,3944692,4123563458.00,0.09%,-0.07%,-0.16,0.00%
2025-03-18,222.26,222.18,222.27,222.15,5036427,5233827364.00,0.05%,-0.03%,-0.06,0.00%
2025-03-17,222.56,222.24,222.56,222.23,6611427,6824281355.00,0.15%,-0.13%,-0.29,0.00%
2025-03-14,222.60,222.53,222.60,222.42,5592058,5797981748.00,0.08%,-0.03%,-0.07,0.00%
2025-03-13,222.53,222.60,222.67,222.52,4995329,5230795664.00,0.07%,0.04%,0.08,0.00%
2025-03-12,222.57,222.52,222.59,222.37,6357487,6640559350.00,0.10%,-0.01%,-0.03,0.00%
2025-03-11,222.97,222.55,222.98,222.54,6697776,7004061081.00,0.20%,-0.18%,-0.41,0.00%
2025-03-10,223.10,222.96,223.11,222.95,8274596,8531784689.00,0.07%,-0.05%,-0.11,0.00%
2025-03-07,223.40,223.07,223.40,223.03,7583413,8028328976.00,0.17%,-0.14%,-0.31,0.00%
2025-03-06,223.51,223.38,223.51,223.38,6332935,6635736095.00,0.06%,-0.05%,-0.12,0.00%
2025-03-05,223.41,223.50,223.51,223.40,8560021,8890692040.00,0.05%,0.04%,0.10,0.00%
2025-03-04,223.42,223.40,223.49,223.39,7819763,8122506392.00,0.04%,0.00%,-0.01,0.00%
2025-03-03,223.27,223.41,223.44,223.24,8278969,8658053489.00,0.09%,0.09%,0.19,0.00%
2025-02-28,223.20,223.22,223.24,223.02,6344518,6713461108.00,0.10%,0.01%,0.03,0.00%
2025-02-27,223.34,223.19,223.34,223.19,5828731,6111399958.00,0.07%,-0.06%,-0.14,0.00%
2025-02-26,223.33,223.33,223.43,223.30,8064447,8527675293.00,0.06%,0.01%,0.03,0.00%
2025-02-25,223.20,223.30,223.35,223.18,5612193,6044203012.00,0.08%,0.05%,0.12,0.00%
2025-02-24,223.60,223.18,223.60,223.18,5716531,6118183631.00,0.19%,-0.17%,-0.38,0.00%
2025-02-21,223.75,223.56,223.75,223.53,7826601,8259196594.00,0.10%,-0.08%,-0.17,0.00%
2025-02-20,223.88,223.73,223.88,223.73,6603430,6895661608.00,0.07%,-0.06%,-0.13,0.00%
2025-02-19,223.89,223.86,223.95,223.86,4750410,4957282876.00,0.04%,0.00%,-0.01,0.00%
2025-02-18,224.10,223.87,224.10,223.86,4950268,5340319721.00,0.11%,-0.10%,-0.22,0.00%
2025-02-17,224.21,224.09,224.21,224.06,5267907,5599711583.00,0.07%,-0.04%,-0.10,0.00%
2025-02-14,224.31,224.19,224.34,224.16,4461110,4762895679.00,0.08%,-0.05%,-0.11,0.00%
2025-02-13,224.32,224.30,224.32,224.28,4166571,4403070993.00,0.02%,0.00%,-0.01,0.00%
2025-02-12,224.25,224.31,224.35,224.25,4223452,4494363906.00,0.04%,0.03%,0.07,0.00%
2025-02-11,224.23,224.24,224.29,224.22,4966197,5259886409.00,0.03%,0.01%,0.03,0.00%
2025-02-10,224.28,224.21,224.47,224.19,4854965,5134318468.00,0.12%,-0.01%,-0.03,0.00%
2025-02-07,224.24,224.24,224.28,224.23,5110871,5496911055.00,0.02%,0.01%,0.02,0.00%
2025-02-06,224.02,224.22,224.23,224.02,4035888,4313591568.00,0.09%,0.10%,0.22,0.00%
2025-02-05,223.85,224.00,224.01,223.83,3852701,4105567508.00,0.08%,0.13%,0.28,0.00%
2025-01-27,223.47,223.72,223.98,223.47,2344051,2560486826.00,0.23%,0.13%,0.30,0.00%
2025-01-24,223.49,223.42,223.49,223.38,4090183,4300713899.00,0.05%,-0.02%,-0.05,0.00%
2025-01-23,223.53,223.47,223.54,223.46,6347775,6612933295.00,0.04%,-0.03%,-0.06,0.00%
2025-01-22,223.41,223.53,223.55,223.41,8956015,9288829597.00,0.06%,0.06%,0.14,0.00%
2025-01-21,223.36,223.39,223.43,223.29,9724950,10084250811.00,0.06%,0.01%,0.03,0.00%
2025-01-20,223.43,223.36,223.43,223.34,10705846,11054133171.00,0.04%,-0.01%,-0.02,0.00%
2025-01-17,223.41,223.38,223.46,223.36,5483787,5688743023.00,0.04%,-0.01%,-0.02,0.00%
2025-01-16,223.44,223.40,223.44,223.35,6005113,6240881997.00,0.04%,-0.01%,-0.03,0.00%
2025-01-15,223.24,223.43,223.44,223.24,10012855,10430049013.00,0.09%,0.10%,0.22,0.00%
2025-01-14,223.29,223.21,223.30,223.18,8393389,8711770381.00,0.05%,-0.03%,-0.06,0.00%
2025-01-13,223.29,223.27,223.32,223.23,9504640,9839204264.00,0.04%,0.01%,0.03,0.00%
2025-01-10,223.35,223.24,223.35,223.14,7382219,7739549264.00,0.09%,-0.06%,-0.14,0.00%
2025-01-09,223.53,223.38,223.53,223.37,11025475,11388503134.00,0.07%,-0.06%,-0.14,0.00%
2025-01-08,223.52,223.52,223.56,223.48,15123644,15563964993.00,0.04%,0.01%,0.02,0.00%
2025-01-07,223.58,223.50,223.64,223.47,14433555,14913981307.00,0.08%,-0.03%,-0.06,0.00%
2025-01-06,223.43,223.56,223.58,223.41,12128187,12640014840.00,0.08%,0.08%,0.17,0.00%
2025-01-03,223.19,223.39,223.46,223.19,9029695,9720294303.00,0.12%,0.12%,0.26,0.00%
2025-01-02,222.68,223.13,223.16,222.68,7511034,7895889834.00,0.22%,0.24%,0.53,0.00%
2024-12-31,222.47,222.60,222.66,222.47,4965582,5324812011.00,0.09%,0.08%,0.17,0.00%
2024-12-30,222.53,222.43,222.53,222.42,5708364,5974605276.00,0.05%,-0.02%,-0.04,0.00%
2024-12-27,222.22,222.47,222.50,222.22,5323747,5656866123.00,0.13%,0.14%,0.31,0.00%
2024-12-26,222.22,222.16,222.26,222.16,5573337,5805354059.00,0.05%,-0.02%,-0.04,0.00%
2024-12-25,222.27,222.20,222.28,222.19,5676363,5960295296.00,0.04%,-0.03%,-0.06,0.00%
2024-12-24,222.27,222.26,222.37,222.21,6049010,6427874950.00,0.07%,0.00%,0.01,0.00%
2024-12-23,222.17,222.25,222.42,222.17,6513854,6896744892.00,0.11%,0.07%,0.16,0.00%
2024-12-20,221.79,222.09,222.12,221.79,9215458,9707917961.00,0.15%,0.16%,0.35,0.00%
2024-12-19,221.81,221.74,221.84,221.67,7963772,8354596463.00,0.08%,-0.03%,-0.06,0.00%
2024-12-18,221.91,221.80,222.03,221.70,9213575,9684153970.00,0.15%,-0.04%,-0.09,0.00%
2024-12-17,221.91,221.89,221.91,221.81,10495987,10949009488.00,0.05%,0.00%,-0.01,0.00%
2024-12-16,221.54,221.90,221.90,221.52,7047554,7448282716.00,0.17%,0.19%,0.43,0.00%
2024-12-13,221.11,221.47,221.47,221.10,7872220,8227004376.00,0.17%,0.18%,0.40,0.00%
2024-12-12,220.92,221.07,221.10,220.92,7594024,7955352497.00,0.08%,0.08%,0.18,0.00%
2024-12-11,220.70,220.89,220.89,220.63,11277588,11706220135.00,0.12%,0.09%,0.20,0.00%
2024-12-10,220.18,220.69,220.78,220.18,7476681,7841611161.00,0.27%,0.27%,0.59,0.00%
2024-12-09,220.07,220.10,220.14,220.07,9847437,10116543101.00,0.03%,0.04%,0.08,0.00%
2024-12-06,220.06,220.02,220.08,220.00,8287930,8516429379.00,0.04%,-0.01%,-0.02,0.00%
2024-12-05,219.95,220.04,220.20,219.91,8772904,9013756554.00,0.13%,0.05%,0.10,0.00%
2024-12-04,219.75,219.94,219.96,219.75,10204739,10496948300.00,0.10%,0.10%,0.21,0.00%
2024-12-03,219.70,219.73,219.74,219.66,8848975,9093528892.00,0.04%,0.02%,0.05,0.00%
2024-12-02,219.42,219.68,219.71,219.42,11152032,11482056670.00,0.13%,0.15%,0.33,0.00%
